distance_m,amplitude_dB,residual_dB
2.704006424936123733e-03,-6.928057064720195513e+01,-6.928058076439852186e+01
2.720595421408124673e-03,-7.729020266309855458e+01,-7.729024543233585121e+01
2.737184417880125613e-03,-6.693374299688770179e+01,-6.693373020564773412e+01
2.753773414352126119e-03,-6.606072894399358120e+01,-6.606074026056448645e+01
2.770362410824127059e-03,-6.455951965443108520e+01,-6.455951276172156383e+01
2.786951407296127566e-03,-6.266767483920177995e+01,-6.266767792166365325e+01
2.803540403768128506e-03,-6.518252863356468652e+01,-6.518252691522467046e+01
2.820129400240129446e-03,-7.302816451208178705e+01,-7.302816623268945762e+01
2.836718396712129952e-03,-8.180733711557381582e+01,-8.180739231703988423e+01
2.853307393184130892e-03,-6.888232257237108058e+01,-6.888230681905670849e+01
2.869896389656131398e-03,-6.722648826401109545e+01,-6.722650069497274217e+01
2.886485386128132338e-03,-7.791250548047702296e+01,-7.791253096015392998e+01
2.903074382600132845e-03,-6.708523860743497380e+01,-6.708522552420424745e+01
2.919663379072133785e-03,-6.814159019228807779e+01,-6.814160457319248110e+01
2.936252375544134725e-03,-7.080696414823484020e+01,-7.080694500293446936e+01
2.952841372016135231e-03,-6.949875179070399156e+01,-6.949875962121620887e+01
2.969430368488136171e-03,-8.136186395573822949e+01,-8.136187662514097951e+01
2.986019364960136677e-03,-7.768897652774677454e+01,-7.768900862505505245e+01
3.002608361432137617e-03,-6.953395109504251081e+01,-6.953393412111972793e+01
3.019197357904138557e-03,-7.104463045953207256e+01,-7.104462940829576212e+01
3.035786354376139064e-03,-5.115336858199093228e+01,-5.115337070297323407e+01
3.052375350848140004e-03,-4.162890288114232362e+01,-4.162890217749078658e+01
3.068964347320140510e-03,-3.969735529060524470e+01,-3.969735584243878890e+01
3.085553343792141450e-03,-4.441687801085588205e+01,-4.441687711087820389e+01
3.102142340264141956e-03,-5.514307080669436090e+01,-5.514307322787882271e+01
3.118731336736142896e-03,-6.620889938008289732e+01,-6.620889350616883462e+01
3.135320333208143836e-03,-6.898915441071608257e+01,-6.898915456041002869e+01
3.151909329680144343e-03,-5.470515680223289223e+01,-5.470515840706327992e+01
3.168498326152145283e-03,-4.804557903459664203e+01,-4.804557834288725360e+01
3.185087322624145789e-03,-4.859310481653978542e+01,-4.859310535033296219e+01
3.201676319096146729e-03,-5.631414822452632052e+01,-5.631414813851068857e+01
3.218265315568147669e-03,-6.902447868661698749e+01,-6.902447973218197319e+01
3.234854312040148176e-03,-6.121676389634871640e+01,-6.121675821167126941e+01
3.251443308512149116e-03,-5.841634625005127646e+01,-5.841635053178553960e+01
3.268032304984149622e-03,-6.078012782842015582e+01,-6.078012218395377886e+01
3.284621301456150562e-03,-7.039813379962149043e+01,-7.039815013932835086e+01
3.301210297928151502e-03,-6.912343280496921238e+01,-6.912344385008995573e+01
3.317799294400152008e-03,-6.388275177873560295e+01,-6.388274553623113405e+01
3.334388290872152948e-03,-6.892238408983837417e+01,-6.892239700178626549e+01
3.350977287344153455e-03,-7.709566341748617901e+01,-7.709562727789491987e+01
3.367566283816154395e-03,-6.278053634378886727e+01,-6.278054437187734038e+01
3.384155280288154901e-03,-5.578350863444119057e+01,-5.578350521225640080e+01
3.400744276760155841e-03,-5.753196451777434106e+01,-5.753196848382893336e+01
3.417333273232156781e-03,-6.811207419395407214e+01,-6.811206174122072809e+01
3.433922269704157287e-03,-6.932083312644249418e+01,-6.932084910350550899e+01
3.450511266176158227e-03,-6.243263130856413312e+01,-6.243262357781962635e+01
3.467100262648158734e-03,-6.161324319932228377e+01,-6.161324836798108606e+01
3.483689259120159674e-03,-5.620095624284183344e+01,-5.620095602915224475e+01
3.500278255592160614e-03,-5.544921840898734189e+01,-5.544921829232432486e+01
3.516867252064161120e-03,-6.221519351207660975e+01,-6.221519317565777385e+01
3.533456248536162060e-03,-7.816664854079346014e+01,-7.816666274854112828e+01
3.550045245008162566e-03,-7.662607768987213319e+01,-7.662604357131127131e+01
3.566634241480163506e-03,-6.892762025285105665e+01,-6.892763666689370439e+01
3.583223237952164013e-03,-6.544591531552654828e+01,-6.544590540345933505e+01
3.599812234424164953e-03,-6.610301679888557658e+01,-6.610302540064610355e+01
3.616401230896165893e-03,-6.763686397548831053e+01,-6.763686012316982499e+01
3.632990227368166399e-03,-6.839957303806637867e+01,-6.839957139480789294e+01
3.649579223840167339e-03,-7.485384409847532083e+01,-7.485384364182722550e+01
3.666168220312167846e-03,-7.638384493549713739e+01,-7.638387628506374938e+01
3.682757216784168786e-03,-6.845530575135546769e+01,-6.845529339107517330e+01
3.699346213256169726e-03,-6.546040993209550152e+01,-6.546042073699618413e+01
3.715935209728170232e-03,-6.621606787826812024e+01,-6.621605602091912601e+01
3.732524206200171172e-03,-7.456871690909326844e+01,-7.456874834489750015e+01
3.749113202672171678e-03,-7.273571566641480501e+01,-7.273570712981137376e+01
3.765702199144172618e-03,-6.883103116837463631e+01,-6.883104117282174172e+01
3.782291195616173558e-03,-6.763874228015377810e+01,-6.763873016571548646e+01
3.798880192088174065e-03,-6.893074034878064538e+01,-6.893075575435756264e+01
3.815469188560175005e-03,-7.299030472234430533e+01,-7.299028141661283087e+01
3.832058185032175511e-03,-6.982970224253081426e+01,-6.982971245323602716e+01
3.848647181504176451e-03,-6.401826184023354926e+01,-6.401825543532412155e+01
3.865236177976176957e-03,-6.197791957896227899e+01,-6.197792603153598634e+01
3.881825174448177897e-03,-6.246876842126723517e+01,-6.246876083598304774e+01
3.898414170920178837e-03,-6.551293788689264375e+01,-6.551294897018929930e+01
3.915003167392179344e-03,-7.180526350432646154e+01,-7.180524742344418598e+01
3.931592163864180284e-03,-6.978729629356823239e+01,-6.978729388678823398e+01
3.948181160336181224e-03,-7.004991168991027450e+01,-7.004991354588648278e+01
3.964770156808181296e-03,-7.358721430703593569e+01,-7.358721912537467347e+01
3.981359153280182236e-03,-1.027318165846836138e+02,-1.027323800681923842e+02
3.997948149752183176e-03,-7.523340084567040265e+01,-7.523337981186185175e+01
4.014537146224184117e-03,-7.561282091335306177e+01,-7.561285446301565116e+01
4.031126142696185057e-03,-6.797005212532533847e+01,-6.797004413247526600e+01
4.047715139168185129e-03,-6.452410110142930932e+01,-6.452410713015017052e+01
4.064304135640186069e-03,-6.372561208861759496e+01,-6.372560557026484673e+01
4.080893132112187009e-03,-6.764672118821466995e+01,-6.764673213990874956e+01
4.097482128584187949e-03,-7.577766086670354184e+01,-7.577765476480666962e+01
4.114071125056188889e-03,-7.256382054899219725e+01,-7.256380698182098854e+01
4.130660121528188962e-03,-7.664036183840491390e+01,-7.664039953565871599e+01
4.147249118000189902e-03,-6.935409090870020066e+01,-6.935408793573935782e+01
4.163838114472190842e-03,-6.486851807780004719e+01,-6.486851683495669363e+01
4.180427110944191782e-03,-6.791632626458736866e+01,-6.791633191647257206e+01
4.197016107416192722e-03,-7.772649497048134037e+01,-7.772645846413533377e+01
4.213605103888192795e-03,-8.130091117227919995e+01,-8.130086497781726962e+01
4.230194100360193735e-03,-7.069339240329983909e+01,-7.069340106334479401e+01
4.246783096832194675e-03,-6.687745839542273529e+01,-6.687745764734113152e+01
4.263372093304195615e-03,-6.744539526299587351e+01,-6.744539250391711960e+01
4.279961089776196555e-03,-7.420358858180418338e+01,-7.420360962379061220e+01
4.296550086248196627e-03,-7.547367230901562607e+01,-7.547364357262952694e+01
4.313139082720197567e-03,-8.017330119929825116e+01,-8.017327198725098469e+01
4.329728079192198507e-03,-6.873851631614569158e+01,-6.873853238137999710e+01
4.346317075664199447e-03,-6.649775123160357282e+01,-6.649773882236785028e+01
4.362906072136199520e-03,-6.876931545201033202e+01,-6.876933154983176166e+01
4.379495068608200460e-03,-6.966999148324875080e+01,-6.966997425259040710e+01
4.396084065080201400e-03,-6.923148414701746844e+01,-6.923149995237086785e+01
4.412673061552202340e-03,-7.181695686263634570e+01,-7.181693496581165448e+01
4.429262058024203280e-03,-7.064743549441642756e+01,-7.064745545317042286e+01
4.445851054496203353e-03,-6.635018362579967288e+01,-6.635017173480569852e+01
4.462440050968204293e-03,-6.837448577846808462e+01,-6.837450092823685566e+01
4.479029047440205233e-03,-7.964972540248596999e+01,-7.964968648330307133e+01
4.495618043912206173e-03,-7.634478033068526770e+01,-7.634477393443049209e+01
4.512207040384207113e-03,-7.355201669540706177e+01,-7.355200654250892001e+01
4.528796036856207186e-03,-6.950539648363358936e+01,-6.950540513930486952e+01
4.545385033328208126e-03,-6.943155778697177993e+01,-6.943154679616712599e+01
4.561974029800209066e-03,-7.148610183322334422e+01,-7.148612258442275902e+01
4.578563026272210006e-03,-7.064450754642381014e+01,-7.064448772679845945e+01
4.595152022744210946e-03,-6.994015381760635819e+01,-6.994017180839782100e+01
4.611741019216211018e-03,-7.551136760368906664e+01,-7.551133261576272560e+01
4.628330015688211958e-03,-7.547776920486769825e+01,-7.547775566027618765e+01
4.644919012160212898e-03,-7.089811753107638026e+01,-7.089812820487452427e+01
4.661508008632213838e-03,-6.872585842430657976e+01,-6.872585149815677141e+01
4.678097005104214778e-03,-6.501378234954523805e+01,-6.501378531168009545e+01
4.694686001576214851e-03,-6.485276063104691957e+01,-6.485275882367187705e+01
4.711274998048215791e-03,-7.316835640042812372e+01,-7.316837038014853078e+01
4.727863994520216731e-03,-6.914647329239672047e+01,-6.914646214362269916e+01
4.744452990992217671e-03,-6.447822841244297365e+01,-6.447823305797054161e+01
4.761041987464218611e-03,-6.638126676182737640e+01,-6.638126272262661587e+01
4.777630983936218684e-03,-7.271656535960269707e+01,-7.271654668685894762e+01
4.794219980408219624e-03,-6.509451267359254700e+01,-6.509452305261626748e+01
4.810808976880220564e-03,-6.343621010492620371e+01,-6.343620184706881560e+01
4.827397973352221504e-03,-6.671999358127993673e+01,-6.672000621762305173e+01
4.843986969824221576e-03,-6.790014623875407551e+01,-6.790013532494685933e+01
4.860575966296222516e-03,-6.792835489040972163e+01,-6.792836123493005118e+01
4.877164962768223457e-03,-7.309680267312759838e+01,-7.309679945199967221e+01
4.893753959240224397e-03,-7.930257206215885901e+01,-7.930257619707937522e+01
4.910342955712225337e-03,-7.677671492826367228e+01,-7.677668854329598958e+01
4.926931952184225409e-03,-7.418349865869842574e+01,-7.418351530122210136e+01
4.943520948656226349e-03,-7.713131799735202776e+01,-7.713130934252005488e+01
