distance_m,amplitude_dB,residual_dB
2.687417428464123226e-03,-6.486630644399131995e+01,-6.486630821381626788e+01
2.704006424936123733e-03,-6.928057064720195513e+01,-6.928056653004378518e+01
2.720595421408124673e-03,-7.729020266309855458e+01,-7.729018532262492158e+01
2.737184417880125613e-03,-6.693374299688770179e+01,-6.693374818444974039e+01
2.753773414352126119e-03,-6.606072894399358120e+01,-6.606072435313399183e+01
2.770362410824127059e-03,-6.455951965443108520e+01,-6.455952245693025304e+01
2.786951407296127566e-03,-6.266767483920177995e+01,-6.266767358068895533e+01
2.803540403768128506e-03,-6.518252863356468652e+01,-6.518252934319751546e+01
2.820129400240129446e-03,-7.302816451208178705e+01,-7.302816378165314859e+01
2.836718396712129952e-03,-8.180733711557381582e+01,-8.180731480121247046e+01
2.853307393184130892e-03,-6.888232257237108058e+01,-6.888232895177394255e+01
2.869896389656131398e-03,-6.722648826401109545e+01,-6.722648323241483581e+01
2.886485386128132338e-03,-7.791250548047702296e+01,-7.791249510357357622e+01
2.903074382600132845e-03,-6.708523860743497380e+01,-6.708524391317612867e+01
2.919663379072133785e-03,-6.814159019228807779e+01,-6.814158435803997804e+01
2.936252375544134725e-03,-7.080696414823484020e+01,-7.080697189877352571e+01
2.952841372016135231e-03,-6.949875179070399156e+01,-6.949874863760489063e+01
2.969430368488136171e-03,-8.136186395573822949e+01,-8.136185873101489108e+01
2.986019364960136677e-03,-7.768897652774677454e+01,-7.768896347640553302e+01
3.002608361432137617e-03,-6.953395109504251081e+01,-6.953395796840680987e+01
3.019197357904138557e-03,-7.104463045953207256e+01,-7.104463091380702622e+01
3.035786354376139064e-03,-5.115336858199093228e+01,-5.115336772221752426e+01
3.052375350848140004e-03,-4.162890288114232362e+01,-4.162890316621533771e+01
3.068964347320140510e-03,-3.969735529060524470e+01,-3.969735506712465423e+01
3.085553343792141450e-03,-4.441687801085588205e+01,-4.441687837510259840e+01
3.102142340264141956e-03,-5.514307080669436090e+01,-5.514306982862368756e+01
3.118731336736142896e-03,-6.620889938008289732e+01,-6.620890174637301584e+01
3.135320333208143836e-03,-6.898915441071608257e+01,-6.898915437327146094e+01
3.151909329680144343e-03,-5.470515680223289223e+01,-5.470515614789228209e+01
3.168498326152145283e-03,-4.804557903459664203e+01,-4.804557931679775606e+01
3.185087322624145789e-03,-4.859310481653978542e+01,-4.859310459806380322e+01
3.201676319096146729e-03,-5.631414822452632052e+01,-5.631414826486337688e+01
3.218265315568147669e-03,-6.902447868661698749e+01,-6.902447823908623548e+01
3.234854312040148176e-03,-6.121676389634871640e+01,-6.121676620566819338e+01
3.251443308512149116e-03,-5.841634625005127646e+01,-5.841634451118198967e+01
3.268032304984149622e-03,-6.078012782842015582e+01,-6.078013012068291232e+01
3.284621301456150562e-03,-7.039813379962149043e+01,-7.039812716171725526e+01
3.301210297928151502e-03,-6.912343280496921238e+01,-6.912342830954744954e+01
3.317799294400152008e-03,-6.388275177873560295e+01,-6.388275431882011901e+01
3.334388290872152948e-03,-6.892238408983837417e+01,-6.892237884140857318e+01
3.350977287344153455e-03,-7.709566341748617901e+01,-7.709567803300996047e+01
3.367566283816154395e-03,-6.278053634378886727e+01,-6.278053308840711821e+01
3.384155280288154901e-03,-5.578350863444119057e+01,-5.578351002326623842e+01
3.400744276760155841e-03,-5.753196451777434106e+01,-5.753196290736126173e+01
3.417333273232156781e-03,-6.811207419395407214e+01,-6.811207925387083151e+01
3.433922269704157287e-03,-6.932083312644249418e+01,-6.932082666058133213e+01
3.450511266176158227e-03,-6.243263130856413312e+01,-6.243263444060627876e+01
3.467100262648158734e-03,-6.161324319932228377e+01,-6.161324109699226170e+01
3.483689259120159674e-03,-5.620095624284183344e+01,-5.620095633535078861e+01
3.500278255592160614e-03,-5.544921840898734189e+01,-5.544921845084502365e+01
3.516867252064161120e-03,-6.221519351207660975e+01,-6.221519366032164555e+01
3.533456248536162060e-03,-7.816664854079346014e+01,-7.816664271069701897e+01
3.550045245008162566e-03,-7.662607768987213319e+01,-7.662609155110131098e+01
3.566634241480163506e-03,-6.892762025285105665e+01,-6.892761360131822812e+01
3.583223237952164013e-03,-6.544591531552654828e+01,-6.544591932549172952e+01
3.599812234424164953e-03,-6.610301679888557658e+01,-6.610301332581460088e+01
3.616401230896165893e-03,-6.763686397548831053e+01,-6.763686551484693155e+01
3.632990227368166399e-03,-6.839957303806637867e+01,-6.839957372892388321e+01
3.649579223840167339e-03,-7.485384409847532083e+01,-7.485384423061704240e+01
3.666168220312167846e-03,-7.638384493549713739e+01,-7.638383219195527829e+01
3.682757216784168786e-03,-6.845530575135546769e+01,-6.845531077655641639e+01
3.699346213256169726e-03,-6.546040993209550152e+01,-6.546040554912805476e+01
3.715935209728170232e-03,-6.621606787826812024e+01,-6.621607268080086328e+01
3.732524206200171172e-03,-7.456871690909326844e+01,-7.456870416964959247e+01
3.749113202672171678e-03,-7.273571566641480501e+01,-7.273571916650801938e+01
3.765702199144172618e-03,-6.883103116837463631e+01,-6.883102709194014324e+01
3.782291195616173558e-03,-6.763874228015377810e+01,-6.763874720258746720e+01
3.798880192088174065e-03,-6.893074034878064538e+01,-6.893073409522733641e+01
3.815469188560175005e-03,-7.299030472234430533e+01,-7.299031418885003575e+01
3.832058185032175511e-03,-6.982970224253081426e+01,-6.982969807808578366e+01
3.848647181504176451e-03,-6.401826184023354926e+01,-6.401826444769474733e+01
3.865236177976176957e-03,-6.197791957896227899e+01,-6.197791695747851293e+01
3.881825174448177897e-03,-6.246876842126723517e+01,-6.246877149884603853e+01
3.898414170920178837e-03,-6.551293788689264375e+01,-6.551293339415158812e+01
3.915003167392179344e-03,-7.180526350432646154e+01,-7.180526999359604190e+01
3.931592163864180284e-03,-6.978729629356823239e+01,-6.978729730068573645e+01
3.948181160336181224e-03,-7.004991168991027450e+01,-7.004991090497446748e+01
3.964770156808181296e-03,-7.358721430703593569e+01,-7.358721240327130886e+01
3.981359153280182236e-03,-1.027318165846836138e+02,-1.027315892113604718e+02
3.997948149752183176e-03,-7.523340084567040265e+01,-7.523340932309106677e+01
4.014537146224184117e-03,-7.561282091335306177e+01,-7.561280729468612094e+01
4.031126142696185057e-03,-6.797005212532533847e+01,-6.797005538704817695e+01
4.047715139168185129e-03,-6.452410110142930932e+01,-6.452409864376593873e+01
4.064304135640186069e-03,-6.372561208861759496e+01,-6.372561474186893804e+01
4.080893132112187009e-03,-6.764672118821466995e+01,-6.764671673309001676e+01
4.097482128584187949e-03,-7.577766086670354184e+01,-7.577766340490916264e+01
4.114071125056188889e-03,-7.256382054899219725e+01,-7.256382600940477801e+01
4.130660121528188962e-03,-7.664036183840491390e+01,-7.664034658370749753e+01
4.147249118000189902e-03,-6.935409090870020066e+01,-6.935409214494974606e+01
4.163838114472190842e-03,-6.486851807780004719e+01,-6.486851856248873105e+01
4.180427110944191782e-03,-6.791632626458736866e+01,-6.791632399893775585e+01
4.197016107416192722e-03,-7.772649497048134037e+01,-7.772650971652609542e+01
4.213605103888192795e-03,-8.130091117227919995e+01,-8.130092998990821229e+01
4.230194100360193735e-03,-7.069339240329983909e+01,-7.069338885918261894e+01
4.246783096832194675e-03,-6.687745839542273529e+01,-6.687745872324988738e+01
4.263372093304195615e-03,-6.744539526299587351e+01,-6.744539635552511925e+01
