file,lam_i_nm,lam_j_nm,span_nm,lam_center_nm,dnu_THz,fringes,tau_aux_ns
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1550.000000,1560.000000,10.000000,1555.000000,1.239836,25278.099449,20.388253
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1550.000000,1565.000000,15.000000,1557.500000,1.853813,37812.833026,20.397329
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1555.000000,1560.000000,5.000000,1557.500000,0.617925,12587.994251,20.371397
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1555.000000,1565.000000,10.000000,1560.000000,1.231901,25122.727828,20.393456
1mB_sweep_ofdr_run1_2026-09-01_17-03-35.npz,1560.000000,1565.000000,5.000000,1562.500000,0.613977,12534.733578,20.415656
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1530.000000,1535.000000,5.000000,1532.500000,0.638250,13015.392423,20.392307
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1530.000000,1540.000000,10.000000,1535.000000,1.272356,25946.114738,20.392186
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1530.000000,1545.000000,15.000000,1537.500000,1.902357,38788.092241,20.389490
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1530.000000,1550.000000,20.000000,1540.000000,2.528294,51533.040020,20.382535
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1530.000000,1555.000000,25.000000,1542.500000,3.150206,64223.077776,20.386949
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1530.000000,1560.000000,30.000000,1545.000000,3.768130,76810.640909,20.384284
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1530.000000,1565.000000,35.000000,1547.500000,4.382107,89343.871467,20.388337
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1535.000000,1540.000000,5.000000,1537.500000,0.634106,12930.722315,20.392064
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1535.000000,1545.000000,10.000000,1540.000000,1.264107,25772.699817,20.388068
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1535.000000,1550.000000,15.000000,1542.500000,1.890044,38517.647597,20.379235
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1535.000000,1555.000000,20.000000,1545.000000,2.511955,51207.685353,20.385587
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1535.000000,1560.000000,25.000000,1547.500000,3.129880,63795.248486,20.382648
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1535.000000,1565.000000,30.000000,1550.000000,3.743857,76328.479044,20.387660
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1540.000000,1545.000000,5.000000,1542.500000,0.630001,12841.977502,20.384047
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1540.000000,1550.000000,10.000000,1545.000000,1.255938,25586.925282,20.372758
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1540.000000,1555.000000,15.000000,1547.500000,1.877850,38276.963038,20.383400
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1540.000000,1560.000000,20.000000,1550.000000,2.495775,50864.526171,20.380255
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1540.000000,1565.000000,25.000000,1552.500000,3.109751,63397.756729,20.386761
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1545.000000,1550.000000,5.000000,1547.500000,0.625937,12744.947779,20.361395
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1545.000000,1555.000000,10.000000,1550.000000,1.247848,25434.985536,20.383073
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1545.000000,1560.000000,15.000000,1552.500000,1.865773,38022.548669,20.378975
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1545.000000,1565.000000,20.000000,1555.000000,2.479750,50555.779226,20.387451
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1550.000000,1555.000000,5.000000,1552.500000,0.621912,12690.037756,20.404892
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1550.000000,1560.000000,10.000000,1555.000000,1.239836,25277.600889,20.387851
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1550.000000,1565.000000,15.000000,1557.500000,1.853813,37810.831447,20.396249
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1555.000000,1560.000000,5.000000,1557.500000,0.617925,12587.563133,20.370700
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1555.000000,1565.000000,10.000000,1560.000000,1.231901,25120.793690,20.391886
1mB_sweep_ofdr_run2_2026-09-01_17-06-58.npz,1560.000000,1565.000000,5.000000,1562.500000,0.613977,12533.230558,20.413208
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1530.000000,1535.000000,5.000000,1532.500000,0.638250,13014.169260,20.390391
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1530.000000,1540.000000,10.000000,1535.000000,1.272356,25944.964548,20.391282
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1530.000000,1545.000000,15.000000,1537.500000,1.902357,38787.569118,20.389215
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1530.000000,1550.000000,20.000000,1540.000000,2.528294,51532.098210,20.382162
1mB_sweep_ofdr_run3_2026-09-01_17-07-33.npz,1530.000000,1555.000000,25.000000,1542.500000,3.150206,64221.785153,20.386538
